id,timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
188,2026-05-20 16:17:22.072,0,0,0,59,0,0,0,1,3,0,0,0,0,EB,8,0D
189,2026-05-20 16:17:22.271,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
190,2026-05-20 16:17:22.482,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0
191,2026-05-20 16:17:22.682,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0
192,2026-05-20 16:17:22.897,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58
193,2026-05-20 16:17:23.098,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
194,2026-05-20 16:17:23.118,0,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A
195,2026-05-20 16:17:23.330,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EE
196,2026-05-20 16:17:23.551,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0
197,2026-05-20 16:17:23.734,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
198,2026-05-20 16:17:23.948,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58,0
199,2026-05-20 16:17:24.149,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
200,2026-05-20 16:17:24.366,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
201,2026-05-20 16:17:24.377,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8
202,2026-05-20 16:17:24.583,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0
203,2026-05-20 16:17:24.783,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3
204,2026-05-20 16:17:24.998,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0
205,2026-05-20 16:17:25.198,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0
206,2026-05-20 16:17:25.414,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0
207,2026-05-20 16:17:25.414,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D
208,2026-05-20 16:17:25.632,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
209,2026-05-20 16:17:25.831,EE,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0
210,2026-05-20 16:17:26.048,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0
211,2026-05-20 16:17:26.249,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58
212,2026-05-20 16:17:26.466,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0
213,2026-05-20 16:17:26.481,0,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A
214,2026-05-20 16:17:26.683,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EB
215,2026-05-20 16:17:26.892,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0
216,2026-05-20 16:17:27.098,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
217,2026-05-20 16:17:27.300,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0
218,2026-05-20 16:17:27.515,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
219,2026-05-20 16:17:27.717,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
220,2026-05-20 16:17:27.741,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8
221,2026-05-20 16:17:27.947,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0
222,2026-05-20 16:17:28.153,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3
223,2026-05-20 16:17:28.365,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0
224,2026-05-20 16:17:28.571,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0
